Stations_ID, Mess_Datum, Qualitaets_Niveau, BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE, WINDGESCHWINDIGKEIT, LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
      722,19470911,   5,  -999,    -999,  -999,   13.5,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470912,   5,  -999,    -999,  -999,   18.3,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470913,   5,  -999,    -999,  -999,   18.8,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470914,   5,  -999,    -999,  -999,   16.7,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470915,   5,  -999,    -999,  -999,   16.8,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470916,   5,  -999,    -999,  -999,   19.6,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470917,   5,  -999,    -999,  -999,   15.9,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470918,   5,  -999,    -999,  -999,   16.6,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470919,   5,  -999,    -999,  -999,   19.8,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470920,   5,  -999,    -999,  -999,   17.6,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470921,   5,  -999,    -999,  -999,   12.5,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470922,   5,  -999,    -999,  -999,    6.3,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470923,   5,  -999,    -999,  -999,    4.4,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470924,   5,  -999,    -999,  -999,    3.3,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470925,   5,  -999,    -999,  -999,    6.9,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470926,   5,  -999,    -999,  -999,   11.4,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470927,   5,  -999,    -999,  -999,   12.7,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470928,   5,  -999,    -999,  -999,    8.8,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470929,   5,  -999,    -999,  -999,    6.0,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19470930,   5,  -999,    -999,  -999,    1.4,    -999,-999,   -999,   -999,   -999,-999,-999,  -999,     -999,-999,eor
      722,19471001,   5,  -999,   95.00,   6.9,    2.6,    -999,-999,    -.3,    -.2,    4.9,-999,-999,  -999,     -999,-999,eor
      722,19471002,   5,  -999,   80.00,   5.2,     .6,    -999,-999,   -1.0,    -.5,    3.1,-999,-999,  -999,     -999,-999,eor
      722,19471003,   5,  -999,   77.00,   5.2,    1.2,    -999,-999,   -3.3,   -1.2,    4.3,-999,-999,  -999,     -999,-999,eor
      722,19471004,   5,  -999,   55.00,   5.3,    6.2,    -999,-999,   -4.9,     .0,   10.2,-999,-999,  -999,     -999,-999,eor
